slug	direct	with_descendants	parent	alias_of	description
triggered-ability	7902	17245			
activated-ability	9112	10338			Cards with activated abilities.
card-names	0	8623			A collection of tags identifying properties and naming schemes in cards.
cycle	0	8386			All the cycles from Magic history.
removal	0	6701			Get things off the table.
card-advantage	58	6554			Things that give you access to more cards.  (The technical meaning of card advantage can be much broader than this, but this is what we're using here.)
removal-creature	1921	5728	removal		
evasion	4709	5655			Creatures that are harder to block through keywords (flying, menace) or other means.
spot-removal	5316	5400	removal		Removal for one target specifically.  See also [sweeper](sweeper) and [multi removal](multi-removal).
single-target-instant-sorcery	4688	4688			Instant/sorcery spells that may target only one target. This is materially important for some effects that care about single targets. Not mutually exclusive with [multiple targets](/tags/card/multiple-targets).
hate	0	4658			Cards that hate on things — colors, card types, zones, etc.
flavors-of-vanilla	0	4536			Magic has various flavors of "vanilla", referencing cards with no abilities or only keyword abilities. For vanilla creatures (those with no abilities) see [is:vanilla](https://scryfall.com/search?q=is%3Avanilla) in Scryfall search.
draw	0	4495	card-advantage		Spells and abilities that textually draw you cards. See also [pure draw](pure-draw).
alliteration	4425	4425	card-names		Cards that alliterate, either properly or per Treacherous Trapezist.
repeatable-crime	3704	3712			Repeatable ways to commit crimes by targeting an opponent or something they control.
pure-draw	1267	3466	draw		Spells and abilities that let you draw (a) card(s) without discarding other cards or sacrificing other permanents.
burn	0	3183			Effects that deal damage, whether to creatures, players, or planeswalkers.
typal	0	2952			
typal-creature	0	2952	typal		
repeatable-card-advantage	346	2887	card-advantage		Things that give you access to more cards, repeatably.
lifegain	883	2764			Cards that cause you to gain life.
ramp	561	2427			Effects that increase available mana for current or later turns.
unique-type-line	2220	2381			No other card has this same type line. Acorn, playtest, and rebalanced cards may count as unique, but they don't make non-acorn, non-playtest, non-rebalanced cards stop counting as unique.
burn-creature	1039	2356	removal-creature		
recursion	0	2342			Get stuff back from your graveyard to use it again. See: reanimate (to battlefield), regrowth (to hand), and restock (to library).
attack-trigger	2066	2285	triggered-ability		
intervening-if-clause	2195	2251	triggered-ability		At/When/Whenever [event], if [clause], [effect].
type-errata	501	2251			Cards that were printed with a type-line that has since been updated. For cards whose token generation has changed, see [Token Errata](token-errata).
removal-planeswalker	149	2060	removal		
cheaper-than-mv	1378	2056			The actual cost you pay for an effect (or for an alternate mode) will often be lower than the card's mana value.
burn-player	887	1934	burn		
mana-sink	1067	1893			Cards with repeatable effects that you can dump a bunch of mana (at least 3) into each turn.
gains-pp-counters	1765	1873			
cast-trigger	148	1865	triggered-ability		
repeatable-removal	1787	1827	removal		
drawback	1350	1811			Cards that have some kind of disadvantage.
repeatable-pp-counters	1720	1798			Repeatable ways of putting +1/+1 counters on creatures.
removal-destroy	1708	1796	removal		
gives-pp-counters	1369	1732			Cards that give +1/+1 counters. For permanents that only give +1/+1 counters to themselves, see [gains pp counters](gains-pp-counters).
staple-with-set-s-mechanic	56	1665			A common card design that is related to one or more of the main mechanics in a set
death-trigger	589	1664	triggered-ability		Abilities that trigger from permanents being sent to a graveyard. See also [leaves trigger](leaves-battlefield-trigger).
draw-engine	1573	1662	repeatable-draw		Card draw effects that can net you additional cards repeatedly over time. Contrast [Burst Draw](burst-draw), which nets you multiple cards right away.
noncreature-typal	1660	1660	typal-creature		Cards that care about creature types, but not necessarily on a creature card—so they're compatible with the Kindred cards from Lorwyn, for example.
attacking-matters-self	1636	1637			Cards that care about themselves attacking. See also [attacking matters](attacking-matters) for cards that care about attacking in general.
namesake-spell	1636	1636	card-names		Spells (or, mostly spells) with names that identify them with a specific named character.
french-vanilla	1555	1623	flavors-of-vanilla		These creatures, vehicles and spacecraft have only keyword abilities.
virtual-vanilla	1606	1606	flavors-of-vanilla		These creatures are effectively just vanilla after entering the battlefield. They may have an enters-the-battlefield or on-cast trigger.
power-matters	169	1582			
repeatable-lifegain	1401	1542	lifegain		
sacrifice-outlet	12	1541			
multiple-targets	1531	1531			These cards can target more than one object or player. Not mutually exclusive with [single target instant/sorcery](/tags/card/single-target-instant-sorcery).
repeatable-creature-tokens	1484	1524	repeatable-token-generator		Repeatable ways to create creature tokens
repeatable-pure-draw	1388	1477	repeatable-draw		Repeatable ways to draw a card with no additional cost or sacrifice, such as discarding a card
blue-effect	0	1471			Effects which are iconically blue.
sacrifice-self	372	1421			Permanents that have abilities that make them sacrifice themselves.
discard-outlet	491	1382			Ways to discard your own cards.
combat-trick	1072	1380			Effects that can be used during combat to help a creature survive, destroy opposing creatures, or deal additional combat damage.
exile-self	858	1369			Cards which exile themselves (from the battlefield, from the graveyard, from your hand, etc.)
protection	0	1354			Effects relating to protecting your permanents (not necessarily via the protection keyword.)
type-change	275	1347			
cast-trigger-you	1302	1346	cast-trigger		Whenever you cast X, do something.
mill	0	1323			A keyword action used in Magic to describe the action of a player taking cards from the top of their library and putting them into their graveyard.
power-boost-to-all	966	1321			Cards that provide power to all creatures you control. May be limited to certain types or colors.
virtual-french-vanilla	1316	1316	flavors-of-vanilla		Creatures and vehicles that are french vanilla (having only keyword abilities) after entering the battlefield. They may have "enters the battlefield" or "on cast" trigger.
counters-matter	293	1307			
delayed-trigger	1126	1303	triggered-ability		Create a triggered ability that may trigger later. Similar to a [reflexive trigger](reflexive-trigger).
single-english-word-name	1299	1299	card-names		Cards named with a single word in English. This may be a compound word.
burn-planeswalker	379	1295	removal-planeswalker		
attacking-matters	1181	1273			Cards that care about attacking. See also [attacking matters-self](attacking-matters-self) for cards that care about themselves attacking.
peek	0	1269			Cards that give you access to hidden information (Yours or other players)
removal-artifact	340	1248	removal		
tutor	0	1214			Cards that directly search for a card from your library, and sometimes other locations as well.
gives-evasion	32	1205			Cards that make a creature harder or impossible to block.
tutor-to	0	1198	tutor		Tutor to specific zones.
black-effect	0	1156			Effects which are iconically black.
thingfall	0	1135			Abilities that trigger when something (other than itself) enters the battlefield
reanimate	11	1114	recursion		Return permanent cards from the graveyard to the battlefield.
synergy-artifact	710	1103			
removal-enchantment	223	1091	removal		
mill-self	336	1074	mill		Cards that put cards from top of your own library to the graveyard. Check the tag "mill" for more.
saboteur	535	1064			Effects that trigger when you deal damage to an opponent.
more-expensive-than-mv	977	1062			The actual cost you pay for an effect (or for an alternate mode) will often be higher than the card's mana value. See also [cards with X in their mana cost](https://scryfall.com/search?q=m%3Ax).
type-errata-addition	0	1060	type-errata		Cards that received a new type because it fit them, or because they were lacking one before.
top-deck-manipulation	11	1052	library-manipulation		
gives-castable-from-nonhand	16	1036			Allows you to play other cards from zones other than your hand.
mana-value-matters	296	1036			
peek-library	66	1029	peek		Look at some number of cards from the top of libraries
sacrifice-outlet-creature	893	1022	sacrifice-outlet		
cost-ignorer	106	1017			Cards that allow you to bypass mana costs. This could be by making the spell free or by setting a static cost that's independent of the original.
toughness-boost-to-all	800	1008			
mana-producer	108	979	ramp		Nonland cards that generate mana.
